Section,Page Title,Page Slug,Docs URL,Page Source (.md),OpenAPI / Spec Filename,OpenAPI / Spec Repo Path,Spec Resolve Status,operationId,HTTP Method,API Path,OpenAPI Version,Spec Title,Hidden,Deprecated,Spec File mtime (UTC),Spec Git Last Commit (ISO)
ParTner integration,aadhaar-xml-offline-api,aadhaar-xml-offline-api,https://docs.payu.in/reference/aadhaar-xml-offline-api,reference/ParTner integration/onboarding-and-kyc-apis/manage-kyc-documents-aadharapis/aadhaar-xml-offline-api.md,Partner_Onboarding_APIs_with_Aadhaar_APIs.json,reference/Partner_Onboarding_APIs_with_Aadhaar_APIs.json,found,post_api-v3-merchants-kyc-document-aadhaar-xml-offline,,,3.0.0,UAT - Refer merchant apis for partner,FALSE,,2026-08-05T06:27:18.701500+00:00,2026-06-28T09:17:20+00:00
ParTner integration,Aadhar OTP Generation API,aadhaar-otp-generation-api,https://docs.payu.in/reference/aadhaar-otp-generation-api,reference/ParTner integration/onboarding-and-kyc-apis/manage-kyc-documents-aadharapis/aadhaar-otp-generation-api.md,Partner_Onboarding_APIs_with_Aadhaar_APIs.json,reference/Partner_Onboarding_APIs_with_Aadhaar_APIs.json,found,post_api-v3-merchants-kyc-document-aadhaar-xml-consent,,,3.0.0,UAT - Refer merchant apis for partner,FALSE,,2026-08-05T06:27:18.701500+00:00,2026-06-28T09:17:20+00:00
ParTner integration,Add or Update Bank Details API,add_update_bank_details_api,https://docs.payu.in/reference/add_update_bank_details_api,reference/ParTner integration/onboarding-and-kyc-apis/bank-details-api/add_update_bank_details_api.md,Add_Update_Bank_Details_API_Collection.json,reference/Add_Update_Bank_Details_API_Collection.json,found,Add/UpdateBankDetails,POST,/v3/merchants/{uuid}/add_bank_detail,3.1.0,Add or Update Bank Details API,FALSE,,2026-08-05T06:27:18.733511+00:00,2025-05-28T13:53:41+00:00
ParTner integration,Create Merchant API,create_merchant_api,https://docs.payu.in/reference/create_merchant_api,reference/ParTner integration/onboarding-and-kyc-apis/onboarding-apis/create_merchant_api.md,payu_create_merchant_api_updated.json,reference/payu_create_merchant_api_updated.json,found,createMerchant,POST,/api/v3/merchants,3.0.0,Create Merchant API,FALSE,,2026-08-05T06:27:18.737512+00:00,2026-05-19T05:53:59+00:00
ParTner integration,Delete KYC Document API,delete_kyc_document_api,https://docs.payu.in/reference/delete_kyc_document_api,reference/ParTner integration/onboarding-and-kyc-apis/manage-kyc-documents/delete_kyc_document_api.md,Delete_KYC_Document_API_Collection_v2.json,reference/Delete_KYC_Document_API_Collection_v2.json,found,DeleteKYCdocument,DELETE,/v3/merchants/{mid}/kyc_document/{kyc_document_uuid},3.1.0,Delete KYC Document API,FALSE,,2026-08-05T06:27:18.701500+00:00,2026-05-19T05:59:06+00:00
ParTner integration,Documents Required for KYC API,docs_required_api,https://docs.payu.in/reference/docs_required_api,reference/ParTner integration/onboarding-and-kyc-apis/manage-kyc-documents/docs_required_api.md,Documents_Required_API_Collection.json,reference/Documents_Required_API_Collection.json,found,DocumentsrequiredforKYC,GET,/v3/merchants/{uuid}/kyc_document/required_docs,3.1.0,Documents Required for KYC API,FALSE,,2026-08-05T06:27:18.701500+00:00,2026-05-19T05:57:30+00:00
ParTner integration,E-Sign Merchant Agreement API,e-sign-merchant-agreement-api,https://docs.payu.in/reference/e-sign-merchant-agreement-api,reference/ParTner integration/onboarding-and-kyc-apis/e-sign-flow-apis/e-sign-merchant-agreement-api.md,ESign_Merchant_Agreement_API.json,reference/ESign_Merchant_Agreement_API.json,found,EsignMerchantAgreement,POST,/v3/merchants/{merchant_uuid}/agreements/{agreement_uuid}/esign,3.1.0,E-Sign Merchant Agreement API,FALSE,,2026-08-05T06:27:18.701500+00:00,2026-05-19T06:02:50+00:00
ParTner integration,Generate Merchant Agreement For E-Sign,generate-merchant-agreement-for-e-sign-api,https://docs.payu.in/reference/generate-merchant-agreement-for-e-sign-api,reference/ParTner integration/onboarding-and-kyc-apis/e-sign-flow-apis/generate-merchant-agreement-for-e-sign-api.md,Generate_Merchant_Agreement_For_ESign_API_v0.json,reference/Generate_Merchant_Agreement_For_ESign_API_v0.json,found,GenerateMerchantAgreementForEsign,POST,/v3/merchants/{merchant_uuid}/generate_agreement_for_esign,3.1.0,Generate Merchant Agreement for E-Sign API,FALSE,,2026-08-05T06:27:18.717505+00:00,2026-05-19T06:01:24+00:00
ParTner integration,Get Merchant Details API,get_merchant_api,https://docs.payu.in/reference/get_merchant_api,reference/ParTner integration/onboarding-and-kyc-apis/onboarding-apis/get_merchant_api.md,GetMerchant_API_Collection.json,reference/GetMerchant_API_Collection.json,found,GetMerchant,GET,/v3/merchants/{uuid},3.1.0,Get Merchant API,FALSE,,2026-08-05T06:27:18.717505+00:00,2026-05-19T05:55:25+00:00
ParTner integration,Info KYC Document API,info_kyc_document_api,https://docs.payu.in/reference/info_kyc_document_api,reference/ParTner integration/onboarding-and-kyc-apis/manage-kyc-documents/info_kyc_document_api.md,Info_KYC_Document_API_With_BusinessEntity.json,reference/Info_KYC_Document_API_With_BusinessEntity.json,found,InfoKYCdocument,GET,/v3/merchants/kyc_document/info,3.1.0,Info KYC Document API,FALSE,,2026-08-05T06:27:18.725508+00:00,2026-05-19T05:56:50+00:00
